ID,Parent Product ID,WPML Translation ID,WPML Language Code,Title,Content,Sku,Regular Price,Sale Price,Stock Status,Stock,Tags,Category,SEO title,SEO Description,visible_roles,invisible_roles,Tax Class,Tax Status,Superdaycare Price,Daycare Price,Daycare Staff Price,Parent Price,Parent Extra Price
654,0,552,nl,Diepvries courgette schrijfjes 2.5kg,"<p>Product: Diepvries courgette in schijfjes<br />
Formaat: 2.5kg</p>",diepvries-courgette-schrijfjes-2-5kg,4.13,,instock,,courgette|courgetteschijfjes|Diepvries|schijfjes,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
656,0,556,nl,"Azijn 1,5l","<p>Product: Azijn<br />
Formaat: 1,5l</p>",azijn-15l,4623,,instock,,azijn,Supermarkt>Smaak/ olie/ toppings,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
658,0,558,nl,Billendoekjes 80st,"<p>Product: Baby billendoekjes<br />
Formaat: 80st</p>",billendoekjes-80st,852,,instock,,baby|babydoekjes|billen|billendoekjes|doeken|natte doekjes|vochtige|vochtige doekjes,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|parent|staff,21vat,taxable,,,,,
661,0,562,nl,Zakdoekjes tissues doos,"<p>Product: zakdoekjes tissues in doosje<br />
Formaat: 150 tissues/doosje</p>",zakdoekjes-tissues-doos,4900,,instock,,doekjes|doosje|papier|tissue|tissue doos|tissues|zakdoek|zakdoekjes,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
664,0,563,nl,Wattenstaafjes 200st,"<p>Product: Wattenstaafjes<br />
Formaat: 200st</p>",wattenstaafjes-200st,0.25,,instock,,wattenstaafje|wattenstaafjes,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
666,0,566,nl,Handschoenen vinyl Maat M 100st,"<p>Product: Handschoenen vinyl Maat M<br />
Formaat: 100st</p>",handschoenen-vinyl-maat-m-100st,4.54,,instock,,handschoen|handschoenen|maat medium|vinyl,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
668,0,570,nl,Batterij C 2st,"<p>Product: Batterij C<br />
Formaat: 2st</p>",batterij-c-2st,1645,,instock,,batterij|batterij C|batterijen|C|C batterij,Supermarkt>Bureaumateriaal,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
672,0,578,nl,Batterij D 2st,"<p>Product: Batterij D<br />
Formaat: 2st</p>",batterij-d-2st,1653,,instock,,batterij|batterij D|batterijen|D|D batterij,Supermarkt>Bureaumateriaal,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
674,0,579,nl,Appelmousseline 720g,"<p>Product: Appelmousseline<br />
Formaat: 720g</p>",appelmousseline-720g,802,,instock,,appel|appelmousseline|mousseline,Supermarkt>Groenten>Pot en blik,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
676,0,582,nl,Diepvries Vis Graatloos 400g,"<p>Product: Diepvries Vis Graatloos<br />
Formaat: 400g</p>",diepvries-vis-graatloos-400g,1.69,,instock,,Diepvries|graatloos|vis,Supermarkt>Vlees/Vis/Veggie,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
